epoch,loss,val_loss,train_acc,val_acc,train_kappa,val_kappa
0,0.7029494047164917,0.7222424083285861,0.4791666666666667,0.5,-0.04166666666666674,0.0
1,0.7545708815256754,0.7174112200737,0.4930555555555556,0.5,-0.01388888888888884,0.0
2,0.7143359051810371,0.6969137986501058,0.5,0.5,0.0,0.0
3,0.6794080999162462,0.6940561996565925,0.6180555555555556,0.5,0.23611111111111116,0.0
4,0.6970407499207391,0.6966492997275459,0.5555555555555556,0.5,0.11111111111111116,0.0
5,0.7099632554584079,0.7002329428990682,0.5,0.5,0.0,0.0
6,0.7232660187615289,0.6939950850274827,0.5208333333333334,0.5,0.04166666666666663,0.0
7,0.7135844230651855,0.6865440209706625,0.5069444444444444,0.6388888888888888,0.01388888888888884,0.2777777777777778
8,0.6764704121483697,0.6901899841096666,0.5694444444444444,0.5,0.13888888888888884,0.0
9,0.703949146800571,0.6947163740793864,0.5416666666666666,0.5,0.08333333333333337,0.0
10,0.7182026439242892,0.6968966590033637,0.4791666666666667,0.5,-0.04166666666666674,0.0
11,0.6945724487304688,0.6964699692196317,0.5347222222222222,0.5,0.06944444444444442,0.0
12,0.7045883867475722,0.6882263157102797,0.5208333333333334,0.5,0.04166666666666663,0.0
13,0.7162670956717597,0.6821111705568101,0.4444444444444444,0.7847222222222222,-0.11111111111111116,0.5694444444444444
14,0.6859850883483887,0.6851197481155396,0.5347222222222222,0.5,0.06944444444444442,0.0
15,0.701177802350786,0.6950646903779771,0.5347222222222222,0.5,0.06944444444444442,0.0
16,0.6915326714515686,0.6994008421897888,0.5208333333333334,0.5,0.04166666666666663,0.0
17,0.7188654608196683,0.6916381849182976,0.5,0.5,0.0,0.0
18,0.7049665848414103,0.6844333277808295,0.5347222222222222,0.5,0.06944444444444442,0.0
19,0.7018959787156847,0.6794301999939812,0.5208333333333334,0.5,0.04166666666666663,0.0
20,0.6956376433372498,0.6788265572653877,0.5347222222222222,0.7013888888888888,0.06944444444444442,0.4027777777777778
21,0.7050289710362753,0.6789467069837782,0.4722222222222222,0.5208333333333334,-0.05555555555555558,0.04166666666666663
22,0.7013795640733507,0.6793674230575562,0.4583333333333333,0.5069444444444444,-0.08333333333333326,0.01388888888888884
23,0.6906098657184176,0.6780403852462769,0.5625,0.5347222222222222,0.125,0.06944444444444442
24,0.6768487493197123,0.6764039860831367,0.5763888888888888,0.8333333333333334,0.1527777777777778,0.6666666666666667
25,0.6673399607340494,0.6757906410429213,0.5625,0.5416666666666666,0.125,0.08333333333333337
26,0.6793863111072116,0.6757640772395663,0.5833333333333334,0.5,0.16666666666666663,0.0
27,0.6934049526850382,0.6761308113733927,0.4930555555555556,0.5,-0.01388888888888884,0.0
28,0.6987798611323038,0.6737832493252225,0.5069444444444444,0.5,0.01388888888888884,0.0
29,0.689847919676039,0.6691205302874247,0.5763888888888888,0.5972222222222222,0.1527777777777778,0.19444444444444442
30,0.6930540800094604,0.6679502725601196,0.5208333333333334,0.7222222222222222,0.04166666666666663,0.4444444444444444
31,0.6498631238937378,0.6749872499042087,0.6458333333333334,0.5,0.29166666666666663,0.0
32,0.6694375409020318,0.6860788265864054,0.6041666666666666,0.5,0.20833333333333337,0.0
33,0.6778918570942349,0.6911711427900527,0.5277777777777778,0.5,0.05555555555555558,0.0
34,0.6631586816575792,0.6793193883366055,0.5833333333333334,0.5,0.16666666666666663,0.0
35,0.6925356520546807,0.6676265531116061,0.5277777777777778,0.5069444444444444,0.05555555555555558,0.01388888888888884
36,0.6795603699154324,0.6592616372638278,0.5347222222222222,0.7083333333333334,0.06944444444444442,0.41666666666666663
37,0.683326694700453,0.6549504200617472,0.5069444444444444,0.8125,0.01388888888888884,0.625
38,0.6980954806009928,0.6525599691602919,0.5069444444444444,0.8333333333333334,0.01388888888888884,0.6666666666666667
39,0.6813793314827813,0.650566558043162,0.5763888888888888,0.8263888888888888,0.1527777777777778,0.6527777777777778
40,0.6556224293178983,0.6477397945192125,0.6111111111111112,0.8194444444444444,0.2222222222222222,0.6388888888888888
41,0.6614371670616997,0.645438035329183,0.625,0.7708333333333334,0.25,0.5416666666666667
42,0.6498285134633383,0.6429131163491143,0.5833333333333334,0.7152777777777778,0.16666666666666663,0.4305555555555556
43,0.6673030058542887,0.6395013994640775,0.6319444444444444,0.7361111111111112,0.26388888888888884,0.4722222222222222
44,0.6696783767806159,0.6367679238319397,0.5833333333333334,0.7152777777777778,0.16666666666666663,0.4305555555555556
45,0.6449192232555814,0.6317988104290433,0.6666666666666666,0.7777777777777778,0.33333333333333337,0.5555555555555556
46,0.6392040583822463,0.6262532869974772,0.6597222222222222,0.8333333333333334,0.3194444444444444,0.6666666666666667
47,0.630825850698683,0.6240073045094808,0.6597222222222222,0.7222222222222222,0.3194444444444444,0.4444444444444444
48,0.6610808504952325,0.617030918598175,0.6041666666666666,0.7847222222222222,0.20833333333333337,0.5694444444444444
49,0.6796408891677856,0.6082084311379327,0.5416666666666666,0.8125,0.08333333333333337,0.625
50,0.6436310609181722,0.6041368510988023,0.7152777777777778,0.8125,0.4305555555555556,0.625
51,0.6526550385687087,0.6042309403419495,0.6180555555555556,0.7638888888888888,0.23611111111111116,0.5277777777777778
52,0.6385621759626601,0.5984410709804959,0.6527777777777778,0.7777777777777778,0.3055555555555556,0.5555555555555556
53,0.6208500332302518,0.5862533251444498,0.6597222222222222,0.8194444444444444,0.3194444444444444,0.6388888888888888
54,0.6348228189680312,0.5784521897633871,0.6597222222222222,0.8263888888888888,0.3194444444444444,0.6527777777777778
55,0.5997049742274814,0.5711039039823744,0.7291666666666666,0.8194444444444444,0.45833333333333337,0.6388888888888888
56,0.6176570786370171,0.5621630350748698,0.6875,0.8125,0.375,0.625
57,0.6201455990473429,0.5548425449265374,0.6944444444444444,0.8263888888888888,0.38888888888888884,0.6527777777777778
58,0.5986304746733772,0.5479940970738729,0.7083333333333334,0.8402777777777778,0.41666666666666663,0.6805555555555556
59,0.6068358884917365,0.5407134294509888,0.6944444444444444,0.8194444444444444,0.38888888888888884,0.6388888888888888
60,0.6205214659372965,0.5334125227398343,0.6875,0.8055555555555556,0.375,0.6111111111111112
61,0.6025986671447754,0.5246268709500631,0.6736111111111112,0.8125,0.3472222222222222,0.625
62,0.6049098240004646,0.5169491502973769,0.6736111111111112,0.8194444444444444,0.3472222222222222,0.6388888888888888
63,0.5619763003455268,0.5085244509908888,0.7291666666666666,0.8194444444444444,0.45833333333333337,0.6388888888888888
64,0.5928082466125488,0.497797151406606,0.6875,0.8125,0.375,0.625
65,0.5613779127597809,0.4861476951175266,0.7430555555555556,0.8125,0.48611111111111116,0.625
66,0.5810437401135763,0.47537823518117267,0.7083333333333334,0.8333333333333334,0.41666666666666663,0.6666666666666667
67,0.5492896106508043,0.47094736496607464,0.8055555555555556,0.8333333333333334,0.6111111111111112,0.6666666666666667
68,0.561524384551578,0.4634958803653717,0.7222222222222222,0.8333333333333334,0.4444444444444444,0.6666666666666667
